,precio,ventas,titulo,total_opiniones,etiqueta_opiniones,etiqueta_precio,etiqueta_ventas,moto,samsung,tcl,xiaomi,iphone,lg,sony,nokia,huawei,blackberry,otros
95,43190,7,"Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM,Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM",80,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
96,43190,7,"Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM,Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM",80,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
97,43190,7,"Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM,Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM",80,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
98,43190,7,"Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM,Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM",80,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
99,43190,7,"Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM,Moto G7 Plus Dual SIM 64 GB Índigo 4 GB RAM",80,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
100,319999,2,"iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM,iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM",22,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0
101,150000,1,"iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM,iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM",22,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
102,150000,1,"iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM,iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM",22,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
103,319999,2,"iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM,iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM",22,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0
104,319999,2,"iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM,iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM",22,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0
